date,open,high,low,close,volume,ma5,ma20,price_div_ma5,price_div_ma20,rsi,money_flow_proxy,atr,macd,macd_signal,macd_hist,macd_bullish,bb_upper,bb_lower,bb_pct_b,kdj_k,kdj_d,kdj_j,ma5_vol,vol_div_ma5_vol
2018-09-20,72.9,74.0,72.0,72.65,115846804.0,69.91,64.5325,0.9583750536403949,0.906519970557471,25.850340136054427,-14480850.5,2.8999999999999977,0.0,0.0,0.0,0.0,76.35412492170488,52.71087507829512,0.24485318050803084,33.70165745856351,44.5672191528545,11.970534069981525,57858462.4,0.5101208151013705
2018-09-21,74.0,74.0,71.95,72.1,43838241.0,69.91,64.5325,0.9583750536403949,0.906519970557471,25.850340136054427,-40630564.82926847,2.8999999999999977,-0.0438746438746449,-0.008774928774928982,-0.03509971509971592,0.0,76.35412492170488,52.71087507829512,0.24485318050803084,33.70165745856351,44.5672191528545,11.970534069981525,57858462.4,0.5101208151013705
2018-09-24,70.65,71.9,69.0,69.0,31460064.0,69.91,64.5325,0.9583750536403949,0.906519970557471,25.850340136054427,-17899691.58620692,2.8999999999999977,-0.32504281621089604,-0.0720285062621224,-0.2530143099487736,0.0,76.35412492170488,52.71087507829512,0.24485318050803084,33.70165745856351,44.5672191528545,11.970534069981525,57858462.4,0.5101208151013705
2018-09-26,69.35,69.6,65.65,68.8,68632397.0,69.91,64.5325,0.9583750536403949,0.906519970557471,25.850340136054427,-9556409.708860738,2.8999999999999977,-0.5575814946371906,-0.16913910393713608,-0.3884423907000546,0.0,76.35412492170488,52.71087507829512,0.24485318050803084,33.70165745856351,44.5672191528545,11.970534069981525,57858462.4,0.5101208151013705
2018-09-27,68.8,69.75,65.65,67.0,29514806.0,69.91,64.5325,0.9583750536403949,0.906519970557471,25.850340136054427,-12957719.70731707,2.8999999999999977,-0.8770054564283072,-0.3107123744353703,-0.5662930819929368,0.0,76.35412492170488,52.71087507829512,0.24485318050803084,33.70165745856351,44.5672191528545,11.970534069981525,57858462.4,0.5101208151013705
2018-09-28,67.05,68.8,65.05,68.75,26889022.0,69.13,64.5325,0.9945031100824534,0.906519970557471,25.850340136054427,12189689.973333353,2.8999999999999977,-0.9776708913765759,-0.44410407782361144,-0.5335668135529645,0.0,76.35412492170488,52.71087507829512,0.24485318050803084,33.70165745856351,44.5672191528545,11.970534069981525,40066906.0,0.6711030295176773
2018-10-02,68.75,68.75,66.05,66.7,6611904.0,68.05,64.5325,0.9801616458486407,0.906519970557471,25.850340136054427,-5020149.333333321,2.8999999999999977,-1.2089310368046995,-0.5970694696198291,-0.6118615671848704,0.0,76.35412492170488,52.71087507829512,0.24485318050803084,33.70165745856351,44.5672191528545,11.970534069981525,32621638.6,0.202684607020323
2018-10-03,66.5,66.5,65.0,65.05,13389350.0,67.26,64.5325,0.9671424323520665,0.906519970557471,25.850340136054427,-12943038.333333358,2.8999999999999977,-1.5079647001822423,-0.7792485157323118,-0.7287161844499305,0.0,76.35412492170488,52.71087507829512,0.24485318050803084,33.70165745856351,44.5672191528545,11.970534069981525,29007495.8,0.4615824162249814
2018-10-04,65.05,65.8,64.95,65.05,14815600.0,66.50999999999999,64.5325,0.9780484137723652,0.906519970557471,25.850340136054427,0.0,2.8999999999999977,-1.72506555097452,-0.9684119227807535,-0.7566536281937666,0.0,76.35412492170488,52.71087507829512,0.24485318050803084,33.70165745856351,44.5672191528545,11.970534069981525,18244136.4,0.8120746126410238
2018-10-05,64.85,68.0,63.8,67.9,16945330.0,66.69,64.5325,1.0181436497225973,0.906519970557471,25.850340136054427,12305537.261904798,2.8999999999999977,-1.64814951611406,-1.104359441447415,-0.5437900746666451,0.0,76.35412492170488,52.71087507829512,0.24485318050803084,35.86646444949988,41.66696758506963,24.265458178360376,15730241.2,1.0772454016789013
